Deltagare	Vidare från gruppspel / första utslagsrundan	ÅF 2	ÅF 3	ÅF 4	ÅF 5	ÅF 6	ÅF 7	ÅF 8	ÅF 9	ÅF 10	ÅF 11	ÅF 12	ÅF 13	ÅF 14	ÅF 15	ÅF 16	Kvart 1	Kvart 2	Kvart 3	Kvart 4	Kvart 5	Kvart 6	Kvart 7	Kvart 8	Semi 1	Semi 2	Semi 3	Semi 4	Final 1	Final 2	Världsmästare	Brons	Skyttekung	Utslagsfråga
Anders E	Tyskland	Frankrike	Schweiz	Nederländerna	Colombia	Spanien	USA	Belgien	Brasilien	Ecuador	Mexiko	England	Argentina	Paraguay	Algeriet	Portugal	Frankrike	Nederländerna	Spanien	Belgien	Brasilien	England	Argentina	Portugal	Spanien	Frankrike	Argentina	Brasilien	Frankrike	Brasilien	Frankrike	Spanien	Kylian Mbappé	283
Anneli	Tyskland	Frankrike	Kanada	Nederländerna	Kroatien	Spanien	USA	Belgien	Brasilien	Norge	Mexiko	England	Argentina	Turkiet	Schweiz	Portugal	Frankrike	Nederländerna	Spanien	USA	Brasilien	England	Argentina	Portugal	Spanien	Frankrike	Argentina	Brasilien	Spanien	Argentina	Spanien	Frankrike	Lamine Yamal	274
Emelie	Tyskland	Frankrike	Mexiko	Nederländerna	England	Spanien	Turkiet	Belgien	Brasilien	Norge	Skottland	Kroatien	Argentina	USA	Schweiz	Portugal	Frankrike	Nederländerna	England	Belgien	Brasilien	Kroatien	Argentina	Schweiz	England	Frankrike	Argentina	Brasilien	Frankrike	Brasilien	Frankrike	England	Kylian Mbappe	323
Andreas	Tyskland	Frankrike	Tjeckien	Nederländerna	Colombia	Spanien	Turkiet	Belgien	Brasilien	Norge	Mexiko	England	Argentina	USA	Schweiz	Portugal	Frankrike	Nederländerna	Spanien	Belgien	Brasilien	England	Argentina	Portugal	Spanien	Frankrike	Argentina	Brasilien	Frankrike	Brasilien	Frankrike	Spanien	Kylian Mbappë	287
Anders F	Tyskland	Norge	Mexiko	Nederländerna	Colombia	Spanien	Turkiet	Belgien	Sverige	Frankrike	Uruguay	Senegal	Argentina	USA	Schweiz	Portugal	Tyskland	Nederländerna	Spanien	Belgien	Frankrike	Uruguay	Argentina	Schweiz	Spanien	Tyskland	Argentina	Frankrike	Spanien	Argentina	Spanien	Frankrike	Kai Havertz	255
Elton	Elfenbenskusten	Frankrike	Tjeckien	Japan	Colombia	Spanien	Turkiet	Belgien	Brasilien	Norge	Tyskland	England	Argentina	USA	Schweiz	Portugal	Frankrike	Japan	Spanien	Turkiet	Norge	England	Argentina	Portugal	Spanien	Frankrike	Portugal	England	Spanien	Portugal	Spanien	England	Erling Haaland	286
Carl	Tyskland	Frankrike	Mexiko	Nederländerna	England	Spanien	Paraguay	Belgien	Brasilien	Norge	Tjeckien	Kroatien	Argentina	Egypten	Schweiz	Senegal	Tyskland	Nederländerna	Spanien	Belgien	Norge	Kroatien	Argentina	Schweiz	Belgien	Tyskland	Argentina	Kroatien	Tyskland	Kroatien	Tyskland	Belgien	Erling Haaland	314
Robin	Tyskland	Frankrike	Sydkorea	Nederländerna	Kroatien	Spanien	Turkiet	Belgien	Brasilien	Norge	Mexiko	England	Argentina	USA	Schweiz	Portugal	Frankrike	Nederländerna	Spanien	Belgien	Brasilien	England	Argentina	Portugal	Spanien	Frankrike	Argentina	Brasilien	Frankrike	Argentina	Frankrike	Brasilien	Kylian Mbappé	291
Niklas	Tyskland	Frankrike	Sydkorea	Marocko	Colombia	Spanien	USA	Belgien	Brasilien	Ecuador	Mexiko	England	Argentina	Paraguay	Schweiz	Portugal	Frankrike	Marocko	Spanien	Belgien	Brasilien	England	Argentina	Portugal	Spanien	Frankrike	Portugal	England	Frankrike	England	Frankrike	Spanien	Kylian Mbappé	285
Anna N	Tyskland	Frankrike	Tjeckien	Nederländerna	Kroatien	Spanien	Turkiet	Belgien	Brasilien	Norge	Sydkorea	England	Uruguay	Iran	Schweiz	Portugal	Frankrike	Tjeckien	Spanien	Belgien	Brasilien	England	Uruguay	Portugal	Spanien	Frankrike	Portugal	England	Spanien	England	Spanien	Frankrike	Lamine Yamal	292
Anna M	Tyskland	Frankrike	Mexiko	Nederländerna	Portugal	Spanien	USA	Belgien	Brasilien	Ecuador	Sydkorea	England	Argentina	Egypten	Schweiz	Ghana	Frankrike	Mexiko	Spanien	USA	Brasilien	England	Argentina	Ghana	Spanien	Frankrike	Argentina	Brasilien	Frankrike	Brasilien	Frankrike	Spanien	Kylian Mbappé	318
Simon	Ecuador	Norge	Mexiko	Japan	England	Spanien	USA	Belgien	Brasilien	Frankrike	Sydkorea	Senegal	Argentina	Egypten	Schweiz	Portugal	Ecuador	Mexiko	Spanien	Belgien	Brasilien	Sydkorea	Argentina	Portugal	Spanien	Mexiko	Argentina	Brasilien	Spanien	Brasilien	Brasilien	Mexiko	Lamine Yamal	250
Monica och Göran	Tyskland	Frankrike	Sydkorea	Nederländerna	Colombia	Spanien	Turkiet	Belgien	Brasilien	Norge	Mexiko	England	Argentina	Egypten	Schweiz	Portugal	Frankrike	Sydkorea	Spanien	Belgien	Brasilien	England	Argentina	Schweiz	Spanien	Frankrike	Argentina	England	Spanien	England	Spanien	Frankrike	Harry Kane	316
Mathias	Tyskland	Frankrike	Sydkorea	Nederländerna	Colombia	Spanien	Turkiet	Belgien	Brasilien	Norge	Mexiko	England	Argentina	Egypten	Schweiz	Portugal	Frankrike	Nederländerna	Spanien	Belgien	Brasilien	England	Argentina	Portugal	Spanien	Frankrike	Argentina	Brasilien	Spanien	Brasilien	Spanien	Frankrike	Kylian Mbappé	295
Jacob	Tyskland	Frankrike	Sydkorea	Nederländerna	Kroatien	Spanien	Paraguay	Belgien	Sverige	Norge	Tjeckien	England	Argentina	USA	Schweiz	Senegal	Frankrike	Nederländerna	Spanien	Paraguay	Sverige	England	Argentina	Schweiz	Spanien	Frankrike	Argentina	Sverige	Spanien	Argentina	Spanien	Frankrike	Erling Haaland	267
Frida	Tyskland	Frankrike	Sydkorea	Brasilien	England	Spanien	USA	Belgien	Marocko	Elfenbenskusten	Mexiko	Kroatien	Argentina	Iran	Schweiz	Senegal	Frankrike	Brasilien	Spanien	Belgien	Marocko	Kroatien	Argentina	Schweiz	Spanien	Frankrike	Argentina	Marocko	Spanien	Argentina	Spanien	Frankrike	Lamine Yamal	281
Susi	Tyskland	Frankrike	Sydkorea	Marocko	Portugal	Spanien	USA	Belgien	Brasilien	Elfenbenskusten	Mexiko	Kroatien	Argentina	Turkiet	Schweiz	Ghana	Frankrike	Marocko	Spanien	Belgien	Brasilien	Mexiko	Argentina	Ghana	Spanien	Frankrike	Argentina	Brasilien	Spanien	Argentina	Argentina	Frankrike	Julian Alvarez	326
Marcus	Tyskland	Frankrike	Kanada	Nederländerna	Kroatien	Spanien	USA	Belgien	Brasilien	Senegal	Mexiko	England	Argentina	Turkiet	Schweiz	Portugal	Frankrike	Nederländerna	Spanien	Belgien	Brasilien	England	Argentina	Portugal	Spanien	Frankrike	Argentina	Brasilien	Frankrike	Brasilien	Frankrike	Spanien	Kylian Mbappe	283
Philip	Tyskland	Frankrike	Kanada	Nederländerna	Colombia	Spanien	USA	Belgien	Brasilien	Norge	Mexiko	England	Argentina	Turkiet	Schweiz	Portugal	Frankrike	Nederländerna	Spanien	Belgien	Brasilien	England	Argentina	Portugal	Spanien	Frankrike	Argentina	Brasilien	Frankrike	Brasilien	Frankrike	Argentina	Kylian Mbappé	302
David	Tyskland	Frankrike	Schweiz	Nederländerna	Colombia	Spanien	USA	Belgien	Brasilien	Ecuador	Mexiko	Kroatien	Argentina	Paraguay	Elfenbenskusten	Portugal	Frankrike	Nederländerna	Spanien	Belgien	Brasilien	Kroatien	Argentina	Portugal	Spanien	Frankrike	Argentina	Brasilien	Frankrike	Argentina	Frankrike	Brasilien	Kylian Mbapé	260
Tobias	Tyskland	Frankrike	Sydkorea	Marocko	England	Spanien	Turkiet	Belgien	Brasilien	Ecuador	Elfenbenskusten	Kroatien	Argentina	Egypten	Schweiz	Portugal	Frankrike	Marocko	Spanien	Belgien	Brasilien	Kroatien	Argentina	Portugal	Spanien	Frankrike	Portugal	Brasilien	Frankrike	Portugal	Frankrike	Spanien	Kylian Mbappe	286
